organization_id,random_intercept,conditional_se,lower_95,upper_95
O049,-8.51443380638167,0.7561972639816181,-9.996553208993369,-7.03231440376997
O029,-6.8318766177058485,0.8489075404898007,-8.495704823270335,-5.168048412141362
O068,-5.955247916505381,0.7982852866179739,-7.519858327664844,-4.390637505345918
O061,-5.472278982969744,0.7627245674871596,-6.967191665368466,-3.977366300571022
O026,-5.466843607955077,0.6755192162363178,-6.790836942642985,-4.14285027326717
O036,-5.145068875673893,0.8489075404898007,-6.8088970812383796,-3.481240670109406
O072,-4.966026831471343,0.743656576914268,-6.423566939089648,-3.508486723853037
O032,-4.488210453235815,0.6943667101358882,-5.849144197165718,-3.127276709305911
O058,-4.471294398235136,0.8583941728010855,-6.153716061464315,-2.788872735005957
O076,-3.609234457733473,0.7982852866179739,-5.173844868892936,-2.04462404657401
O074,-3.5425265492462508,0.7204277326889689,-4.9545389587804785,-2.1305141397120226
O022,-2.8522392065929307,0.7763350768120013,-4.373827997079589,-1.330650416106272
O071,-2.7558459447736827,0.699342164774448,-4.126531400601877,-1.385160488945489
O065,-2.7447040867008115,0.7627245674871596,-4.239616769099534,-1.2497914043020892
O059,-2.7029413033339935,0.6847399241309647,-4.045006893407373,-1.360875713260614
O015,-2.6820514178928274,0.8583941728010855,-4.364473081122006,-0.9996297546636486
O055,-2.1941030340258156,0.6800806647343258,-3.527036643487153,-0.8611694245644781
O060,-2.0279429174963317,0.6800806647343258,-3.3608765269576693,-0.6950093080349942
O034,-1.9001747874666424,0.8682315655884913,-3.601877386260911,-0.19847218867237393
O028,-1.8048688099203345,0.8397505577565298,-3.450749659120555,-0.1589879607201139
O027,-1.7443606496462478,0.7982852866179739,-3.308971060805711,-0.17975023848678484
O044,-1.6790058613543843,0.6800806647343258,-3.011939470815722,-0.3460722518930468
O048,-1.667544834418328,0.7498438825495913,-3.137211838243209,-0.197877830593447
O033,-1.5409340074492255,0.7982852866179739,-3.1055444186086882,0.023676403710237492
O070,-1.4080990955546577,0.8397505577565298,-3.0539799447548783,0.23778175364556287
O006,-1.3857372845898264,0.6943667101358882,-2.74667102851973,-0.02480354065992252
O045,-1.369471726011566,0.7907499158230682,-2.9193130818028585,0.1803696297797266
